dp,"vd,zs14,H0=0,Exp5","vd,zs14,H0=200,Exp9","vd,zs14,H0=600,Exp17","dp&Exp5,9,17","vd,LES,Exp5","vd,LES,Exp9","vd,LES,Exp17","dp&Exp24,27,33","vd,LES,Exp24","vd,LES,Exp27","vd,LES,Exp33",dp,"vd,zs14,H0=0,Exp=24","vd,zs14,H0=200,Exp=27","vd,zs14,H0=600,Exp=33"
0.07390722033525779,2.4859468779008108e-05,3.1388864568078864e-05,3.863613751134523e-05,,,,,,,,,0.07390722033525779,0.00021603891865429575,0.00026219929012289366,0.0003497677405921999
0.08302175681319744,2.4895759735183616e-05,3.161046153177233e-05,3.90530228153983e-05,,,,,,,,,0.08302175681319744,0.00019101850938748078,0.00023212219832391008,0.00031025880535398917
0.093260334688322,2.519743776185842e-05,3.2169178753032636e-05,3.988624058175708e-05,,,,,,,,,0.093260334688322,0.0001702802611149942,0.00020720229606882793,0.0002775398928042432
0.10476157527896651,2.577996689264025e-05,3.308482310659513e-05,4.116025104326532e-05,,,,,,,,,0.10476157527896651,0.00015324288749576367,0.00018674692678758123,0.0002507165413108126
0.11768119524349979,2.6663523366834387e-05,3.4382765342602414e-05,4.290600676952406e-05,,,,,,,,,0.11768119524349979,0.00013942351625651753,0.00017017941297047098,0.00022904128907897645
0.13219411484660287,2.7873626747481315e-05,3.6094620471809664e-05,4.516168354079679e-05,,,,,,,,,0.13219411484660287,0.00012842479733677162,0.00015702417997494979,0.00021189564919065154
0.1484968262254465,2.944193858772597e-05,3.825910418194582e-05,4.7973596177981395e-05,,,,,,,,,0.1484968262254465,0.00011992406651163992,0.00014689412359952534,0.0001987745285211811
0.1668100537200059,3.140726534158614e-05,4.0923102831115253e-05,5.139733782420176e-05,,,,,,,,,0.1668100537200059,0.00011366441096283355,0.00013948008769641495,0.00018927303268529647
0.1873817422860383,3.3816813366883885e-05,4.4143006682291155e-05,5.549919444252976e-05,,,,,,,,,0.1873817422860383,0.00010944747805486861,0.00013454229509492,0.0001830755334418729
0.21049041445120198,3.672775857741087e-05,4.798637238830703e-05,6.03579045891431e-05,,,,,,,,,0.21049041445120198,0.00010712787914500963,0.00013190357463116654,0.00017994684639968257
0.23644894126454072,4.020921299020204e-05,5.2534003169252006e-05,6.606686021862931e-05,,,,,,,,,0.23644894126454072,0.00010660906234585249,0.00013144424294346275,0.0001797253653830592
